,tract,Base_Num,Robot_Num,Time,CO2_Emission
121,227.0,5,2,0.490156316765,0.9778173702714728
122,228.0,4,2,0.9325693895355556,1.548503194011278
123,229.0,4,3,0.9193606251655556,1.2011044437655576
124,23.0,3,3,1.1561767894888888,1.890664842377616
125,230.0,3,3,0.8057376282275001,0.9219753007714688
126,231.0,4,2,0.2540708337108333,0.3363006196913377
127,232.0,5,2,0.3298309977191666,1.8138163572380093
128,233.0,4,2,0.3063101129969167,2.3858749241223896
129,234.0,4,3,0.7584132489957223,1.3777011253546916
130,235.0,4,5,0.7292445872608609,0.9004289251192062
131,236.0,4,3,0.5471075333702222,0.7657292815896973
132,237.0,5,2,0.4538559190659167,0.998519971566387
133,238.0,5,1,0.3427914417433889,1.120157241759239
134,239.0,5,1,0.5637873613972222,0.8464262335212833
135,24.0,5,1,0.8836665848329722,0.9582182282141338
136,240.0,5,2,0.50639527570975,1.1242576889576623
137,241.0,5,3,0.4800696000202778,0.8187684013092442
138,242.0,5,1,0.0645285578155555,0.0462379714632005
139,243.0,4,2,0.7421925387376667,1.3829376026492866
140,244.0,5,4,0.6653325443372222,1.059582741629888
141,245.0,5,2,1.444693607678889,1.377906397655767
142,246.0,1,4,0.9349194875149722,0.5660661669560034
143,247.0,4,4,0.736441331892,1.4373223676437576
144,248.0,5,2,0.5632102898945833,1.1472009678627133
145,249.0,2,4,1.1232848436469445,1.6546506217764398
146,25.0,5,1,0.2180412256895833,0.6122120163470761
147,250.0,4,2,0.7520693179416668,0.7960005686898671
148,251.0,4,2,0.5097476222460834,0.7351026872097689
149,252.0,2,1,0.0304136241946111,0.4422347948639102
150,253.0,2,2,1.062881363976111,1.8546273271724767
151,254.0,5,3,0.2121765340822222,1.6995118165051517
